prompt,complexity,token_count,instruction_count,constraint_count,has_context,output_format_complexity
"In simple terms, Analyze a hypothetical dataset of LLM requests and propose how to identify which requests should be routed to more powerful models. Explain your reasoning.",complex,27,4,1,1,0
Please What is supervised learning? Provide the key points.,simple,9,0,0,0,0
Compare SQL and NoSQL databases for a web application. Use bullet points.,moderate,12,1,0,0,1
"In simple terms, Design an experiment to determine whether an LLM routing system actually reduces costs without significantly reducing answer quality. Give a clear explanation.",complex,25,1,1,0,1
"Can you Create a complete technical strategy for deploying an LLM cost optimization platform using FastAPI, Docker, SQLite, and background workers. Use bullet points.",complex,24,1,0,0,2
Please Classify the following customer feedback into positive and negative. Use bullet points.,moderate,13,1,0,1,1
"For an AI project, Design a model-selection algorithm that considers prompt complexity, model cost, historical quality, and latency simultaneously. Explain your reasoning.",complex,23,2,0,0,0
Help me Analyze how a cost-optimization system could accidentally reduce response quality and design safeguards to prevent this problem. Explain your reasoning.,complex,23,3,0,0,0
Evaluate several possible approaches for measuring quality parity between inexpensive and expensive LLM models and recommend the most reliable approach. Explain your reasoning.,complex,23,3,0,0,0
Can you What is a function in Python? Give a clear explanation.,simple,12,0,0,0,1
"For a software project, What is JSON? Make the response concise.",simple,11,0,0,0,0
Can you What is Python? Keep the answer structured.,simple,9,0,1,0,1
Please What is a neural network? Use bullet points.,simple,9,0,0,0,1
Compare FastAPI and Flask for building APIs. Explain your reasoning.,moderate,10,2,0,0,0
"For an AI project, What is cloud computing? Include an example.",simple,11,0,1,0,0
Please Analyze the strengths and weaknesses of a proposed software architecture. Give a clear explanation.,moderate,15,2,0,0,2
"In simple terms, What is FastAPI? Provide the key points.",simple,10,0,0,0,0
"For a software project, Explain the difference between classification and regression. Include an example.",moderate,14,1,1,0,0
"I need you to Analyze this software architecture, identify its scalability risks, and propose an improved production architecture with justification. Keep the answer structured.",complex,24,3,1,0,2
"For an AI project, Create a structured summary of the following project requirements. Give a clear explanation.",moderate,17,1,0,1,2
"Help me Compare multiple LLM routing strategies and recommend one for a production system, considering cost, latency, reliability, and quality. Give a clear explanation.",complex,24,2,1,0,1
"In simple terms, What is machine learning? Give a clear explanation.",simple,11,0,0,0,1
"In simple terms, Design a production system that can dynamically update routing rules without requiring a full application redeployment. Include an example.",complex,22,1,2,0,0
Evaluate several possible approaches for measuring quality parity between inexpensive and expensive LLM models and recommend the most reliable approach. Give a clear explanation.,complex,24,2,0,0,1
Define artificial intelligence. Explain your reasoning.,simple,6,1,0,0,0
"For an AI project, Explain the difference between classification and regression. Provide the key points.",moderate,15,1,0,0,0
"Help me Design a fault-tolerant multi-provider LLM service that automatically handles provider outages, rate limits, and quality failures. Keep the answer structured.",complex,24,1,1,0,1
I need you to What is Git?,simple,7,0,0,0,0
"Help me Design a complete architecture for an AI system that automatically routes LLM requests based on complexity, cost, latency, and quality. Make the response concise.",complex,26,1,0,0,1
"In simple terms, What is Git? Keep the answer structured.",simple,10,0,1,0,1
Help me Analyze why a web application might have slow API responses. Keep the answer structured.,moderate,16,1,1,0,1
I need you to Develop a production-ready approach for automatically escalating an LLM request when a quality verifier detects that the selected model produced an inadequate response. Give a clear explanation.,complex,32,1,0,0,1
Can you Explain how a REST API works and give a simple example. Use bullet points.,moderate,16,1,0,0,1
